ID	code	name	Type	Domain	Order	Genus	Speices
T00005	sce	Saccharomyces cerevisiae (budding yeast)	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Saccharomyces cerevisiae
T08138	seub	Saccharomyces eubayanus	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Saccharomyces eubayanus
T08193	spao	Saccharomyces paradoxus	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Saccharomyces paradoxus
T00167	ago	Eremothecium gossypii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Eremothecium gossypii
T02237	erc	Eremothecium cymbalariae	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Eremothecium cymbalariae
T01025	kla	Kluyveromyces lactis	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Kluyveromyces lactis
T05269	kmx	Kluyveromyces marxianus	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Kluyveromyces marxianus
T01117	lth	Lachancea thermotolerans	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Lachancea thermotolerans
T01049	vpo	Vanderwaltozyma polyspora	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Vanderwaltozyma polyspora
T01118	zro	Zygosaccharomyces rouxii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Zygosaccharomyces rouxii
T01024	cgr	Nakaseomyces glabratus	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Nakaseomyces glabratus
T02233	ncs	Naumovozyma castellii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Naumovozyma castellii
T02234	ndi	Naumovozyma dairenensis	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Naumovozyma dairenensis
T02235	tpf	Tetrapisispora phaffii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Tetrapisispora phaffii
T02489	tbl	Henningerozyma blattae	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Henningerozyma blattae
T06981	tgb	Torulaspora globosa	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Torulaspora globosa
T02236	tdl	Torulaspora delbrueckii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Torulaspora delbrueckii
T02487	kaf	Kazachstania africana	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Kazachstania africana
T08174	kng	Huiozyma naganishii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Huiozyma naganishii
T06976	zmk	Zygotorulaspora mrakii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Zygotorulaspora mrakii
T08289	slud	Saccharomycodes ludwigii	Eukaryotes	Fungi	Ascomycetes	Saccharomycetes	Saccharomycodes ludwigii
T01026	dha	Debaryomyces hansenii	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Debaryomyces hansenii
T01023	pic	Scheffersomyces stipitis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Scheffersomyces stipitis
T01150	pgu	Meyerozyma guilliermondii	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Meyerozyma guilliermondii
T03101	spaa	Spathaspora passalidarum	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Spathaspora passalidarum
T01116	lel	Lodderomyces elongisporus	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Lodderomyces elongisporus
T10315	lbg	Lodderomyces beijingensis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Lodderomyces beijingensis
T00189	cal	Candida albicans	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Candida albicans
T01115	ctp	Candida tropicalis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Candida tropicalis
T02488	cot	Candida orthopsilosis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Candida orthopsilosis
T01140	cdu	Candida dubliniensis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Candida dubliniensis
T03099	cten	Yamadazyma tenuis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Yamadazyma tenuis
T01149	clu	Clavispora lusitaniae ATCC 42720	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Clavispora lusitaniae
T05147	clus	Clavispora lusitaniae CBS 6936	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Clavispora lusitaniae
T04850	caur	Candidozyma auris	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Candidozyma auris
T10743	asau	Australozyma saopauloensis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Australozyma saopauloensis
T01092	ppa	Komagataella phaffii	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Komagataella phaffii
T06133	pkz	Pichia kudriavzevii	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Pichia kudriavzevii
T07002	bnn	Brettanomyces nanus	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Brettanomyces nanus
T07183	bbrx	Brettanomyces bruxellensis	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Brettanomyces bruxellensis
T08137	opa	Ogataea parapolymorpha	Eukaryotes	Fungi	Ascomycetes	Pichiomycetes	Ogataea parapolymorpha
T01033	yli	Yarrowia lipolytica	Eukaryotes	Fungi	Ascomycetes	Dipodascomycetes	Yarrowia lipolytica
T05270	slb	Sugiyamaella lignohabitans	Eukaryotes	Fungi	Ascomycetes	Dipodascomycetes	Sugiyamaella lignohabitans
T01034	ncr	Neurospora crassa	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Neurospora crassa
T03451	nte	Neurospora tetrasperma	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Neurospora tetrasperma
T01610	smp	Sordaria macrospora	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Sordaria macrospora
T01048	pan	Podospora anserina	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Podospora anserina
T09795	pbel	Podospora bellae-mahoneyi	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Podospora bellae-mahoneyi
T09797	ppsd	Podospora pseudocomata	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Podospora pseudocomata
T09815	ppsp	Podospora pseudopauciseta	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Podospora pseudopauciseta
T09816	ppsa	Podospora pseudoanserina	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Podospora pseudoanserina
T02228	ttt	Thermothielavioides terrestris	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Thermothielavioides terrestris
T02231	mtm	Thermothelomyces thermophilus	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Thermothelomyces thermophilus
T03100	cthr	Thermochaetoides thermophila	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Thermochaetoides thermophila
T10833	rthe	Remersonia thermophila	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Remersonia thermophila
T01027	mgr	Pyricularia oryzae	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Pyricularia oryzae
T08194	ppei	Pyricularia pennisetigena	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Pyricularia pennisetigena
T09406	pgri	Pyricularia grisea	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Pyricularia grisea
T03102	tmn	Phaeoacremonium minimum	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Phaeoacremonium minimum
T05555	ssck	Sporothrix schenckii	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Sporothrix schenckii
T01038	fgr	Fusarium graminearum	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Fusarium graminearum
T03456	fpu	Fusarium pseudograminearum	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Fusarium pseudograminearum
T09519	fpoa	Fusarium poae	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Fusarium poae
T09539	fvn	Fusarium venenatum	Eukaryotes	Fungi	Ascomycetes	Sordariomycetes	Fusarium venenatum
