classification	baseMean	log2FoldChange	lfcSE	pvalue	padj
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	159069.028964343	-0.0104286938186048	0.976644626916473	0.054679175603205	0.170029765231884
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	187403.281459638	-0.098292758523344	0.983249234942122	0.998886084455413	0.998913616958696
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	35269.0542351663	-0.277901957540655	1.0723222246329	0.367084326372673	0.732338572505207
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	328627.478465874	0.0154376802024841	0.974209434642825	0.778200065468678	0.995821391854499
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	38264.1641389874	-0.072555507368614	0.969451744693072	0.80891888361913	0.995821391854499
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	405208.517541469	-0.233900458042887	0.974925582482261	0.121625481426562	0.34948081371936
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	83802.092488049	0.0787775183573215	0.983945219299797	0.272606251142944	0.599552879742764
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	130362.340314473	0.100344071938581	0.977283185400741	0.471100222158348	0.835466800233946
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	67181.0556628173	-0.0809541970083681	0.98473868451851	0.330209174469146	0.687683326646754
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	588441.703193643	-0.167188190936882	0.961929852913937	0.738106548564152	0.995821391854499
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp934255515	29403.068356374	-0.32571086224652	1.09474503610756	1.76405754446121e-16	2.22467256995941e-15
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum	421625.828002049	-0.11429841745506	0.961783314080864	0.469289659697646	0.835466800233946
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	465763.563855942	-0.0399215507727422	0.977108329665658	0.936502025034534	0.995821391854499
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	255545.226357124	-0.00879774137896439	0.98036359717821	0.831461232474534	0.995821391854499
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	239917.241699662	-0.118143767177706	1.02073059371189	0.256019982911994	0.581165361210226
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	220728.058800799	0.0610625965224689	0.977432532266067	0.65876626368135	0.952012233900631
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp000437795	260694.43235744	0.0306901653799175	0.974385208241952	0.660542705764556	0.952012233900631
