taxa	p_raw	p_adjusted
Coprococcus.aceti	0.0200366238791552	0.995806099837978
Dysosmobacter.segnis	0.777290670735442	0.995806099837978
Blautiasp000436615	0.930663081922545	0.995806099837978
UBA11524.sp000437595	0.896155071405668	0.995806099837978
Vescimonas.sp900545495	0.760654012318577	0.995806099837978
Parabacteroides.distasonis	0.148297831651511	0.995806099837978
Dorealongicatena	0.727711083177414	0.995806099837978
Butyrivibriocrossotus	0.695254215556947	0.995806099837978
Lachnospira.pectinoschiza_A	0.727711083177414	0.995806099837978
Phocaeicola.vulgatus	0.878968985087402	0.995806099837978
Sutterella.sp934255515	0.632005521963359	0.995806099837978
Faecalibacterium.longum	0.359609852851348	0.995806099837978
CAG.170.sp000432135	0.947969181536932	0.995806099837978
Agathobacter.faecis	0.913389065403133	0.995806099837978
Faecalibacterium.prausnitzii_D	0.513448720607901	0.995806099837978
Gemmiger.formicilis	0.541993256335659	0.995806099837978
Limisoma.sp000437795	0.485691797121813	0.995806099837978
Ruminococcussp000980705	0.315419674046982	0.995806099837978
Dialister.sp000434475	0.513448720607901	0.995806099837978
Acetatifactor.intestinalis	0.472117954704294	0.995806099837978
Alloprevotella.sp900539625	0.982645666800472	0.995806099837978
Agathobacter.rectalis	0.982645666800472	0.995806099837978
Prevotella.sp002251385	0.601309944811687	0.995806099837978
Alitiscatomonas.sp900066535	0.711418553497128	0.995806099837978
Hominicoprocola.fusiformis	0.878968985087402	0.995806099837978
Duodenibacillus.sp900544335	0.878968985087402	0.995806099837978
Odoribacter.splanchnicus	0.965299381621532	0.995806099837978
Succinivibrio.sp000431835	0.777290670735442	0.995806099837978
Phocaeicola.coprocola	0.930663081922545	0.995806099837978
Faecalibacterium.sp900539945	0.541993256335659	0.995806099837978
Holdemanella.sp900556915	0.896155071405668	0.995806099837978
Anaerotignum.faecicola	0.878968985087402	0.995806099837978
Avelusimicrobium.sp900541355	0.982645666800472	0.995806099837978
