classification	logFC	logCPM	LR	PValue	FDR
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	-2.35382040147627	12.5698386928564	25.1764105568256	5.23182348475689e-07	0.000118762393103981
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	2.25946337660421	12.6017355621682	20.5889057196214	5.69250462345564e-06	0.000646099274762216
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	1.84068247386846	12.8788518279291	19.1218824077847	1.22630792734167e-05	0.000927906331688533
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E intestinalis	2.3488421266171	11.8442686864684	17.8163354159327	2.43285571850846e-05	0.0011703629867835
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.28505189972496	12.4157540364327	17.7061691011723	2.57789204137335e-05	0.0011703629867835
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795	1.72622490382466	12.7410590851872	16.6866825691195	4.40894214977406e-05	0.00156001747813927
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	2.00274654257822	10.6473598587876	16.5213137187136	4.81062658457043e-05	0.00156001747813927
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345	1.75209273522472	11.0813080751671	16.0458091104587	6.18283208584787e-05	0.00169168867719943
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	-1.83153674774374	11.6228027618548	15.891724238433	6.70713572457922e-05	0.00169168867719943
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900548615	1.60893100575088	12.2797155014892	15.0446980467942	0.000104994784088681	0.00238338159881305
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	1.27765670214072	12.1492938992559	14.7629020531273	0.00012191046702528	0.0024344596539562
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans	1.50342355908719	10.594806695852	14.4576395686304	0.00014334724265081	0.0024344596539562
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_C	0.919971471848171	14.2864863999275	14.3756384436374	0.000149726932394883	0.0024344596539562
