taxa	p_raw	p_adjusted
Coprococcus.aceti	0.0226246585408874	0.992740795669209
Dysosmobacter.segnis	0.896155071405668	0.992740795669209
Blautiasp000436615	0.896155071405668	0.992740795669209
UBA11524.sp000437595	0.744125167754451	0.992740795669209
Vescimonas.sp900545495	0.982645666800472	0.997919951776645
Parabacteroides.distasonis	0.119514609989903	0.992740795669209
Dorealongicatena	0.810858944990245	0.992740795669209
Butyrivibriocrossotus	0.861838627282944	0.992740795669209
Lachnospira.pectinoschiza_A	0.632005521963359	0.992740795669209
Phocaeicola.vulgatus	0.777290670735442	0.992740795669209
Sutterella.sp934255515	0.445595976973432	0.992740795669209
CAG.103.sp900317855	0.359609852851348	0.992740795669209
Faecalibacterium.longum	0.304943450009916	0.992740795669209
CAG.170.sp000432135	0.930663081922545	0.994038592633031
Agathobacter.faecis	0.794028055423461	0.992740795669209
Faecalibacterium.prausnitzii_D	0.777290670735442	0.992740795669209
Gemmiger.formicilis	0.601309944811687	0.992740795669209
Limisoma.sp000437795	0.616575602311988	0.992740795669209
Ruminococcussp000980705	0.246881525627716	0.992740795669209
Dialister.sp000434475	0.601309944811687	0.992740795669209
Acetatifactor.intestinalis	0.395132079564398	0.992740795669209
Lawsonibacter.sp900549405	0.359609852851348	0.992740795669209
UBA10281.sp900764105	0.663335819487001	0.992740795669209
Alloprevotella.sp900539625	0.947969181536932	0.994038592633031
Agathobacter.rectalis	0.810858944990245	0.992740795669209
Prevotella.sp002251385	0.727711083177414	0.992740795669209
Alitiscatomonas.sp900066535	0.55655074152081	0.992740795669209
Hominicoprocola.fusiformis	0.913389065403133	0.992740795669209
Duodenibacillus.sp900544335	1	1
Odoribacter.splanchnicus	0.861838627282944	0.992740795669209
Succinivibrio.sp000431835	0.794028055423461	0.992740795669209
Phocaeicola.coprocola	0.695254215556947	0.992740795669209
Faecalibacterium.sp900539945	0.632005521963359	0.992740795669209
Holdemanella.sp900556915	1	1
Anaerotignum.faecicola	0.632005521963359	0.992740795669209
CAG.170.sp900548625	0.359609852851348	0.992740795669209
Avelusimicrobium.sp900541355	0.760654012318577	0.992740795669209
Fusicatenibacter.saccharivorans	0.982645666800472	0.997919951776645
Agathobaculum.hominis	0.663335819487001	0.992740795669209
Angelakisella.sp900547385	0.913389065403133	0.992740795669209
Faecalibacterium.duncaniae	0.982645666800472	0.997919951776645
Bilophila.wadsworthia	0.541993256335659	0.992740795669209
Roseburia.inulinivorans	0.727711083177414	0.992740795669209
Mediterraneibacter.faecis	0.965299381621532	0.994038592633031
Hominimerdicola.aceti	0.541993256335659	0.992740795669209
Alistipes.shahii	0.760654012318577	0.992740795669209
Prevotella.stercorea	0.616575602311988	0.992740795669209
Sutterella.wadsworthensis_A	0.861838627282944	0.992740795669209
Faecalibacterium.prausnitzii	0.0997445425762861	0.992740795669209
Prevotella.copri_I	0.348220491291572	0.992740795669209
Blautiawexlerae	0.844771743519539	0.992740795669209
