classification	baseMean	log2FoldChange	lfcSE	pvalue	padj
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	186171.948182046	0.0220501827291299	0.97974049288301	0.0818579655944695	0.516501302141182
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	197254.308801163	-0.06460451925591	0.976007767227765	0.913561141704965	0.994843219926558
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	383710.498794617	0.0488830642103306	0.976547038683643	0.854587383968109	0.994843219926558
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	43741.9665047938	-0.0287218165500008	0.963659416604572	0.751884635399085	0.994843219926558
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	427466.184332123	-0.203127665358882	0.967364120118102	0.138539813978274	0.71628031482384
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	89753.5713067258	0.106295942591922	0.988243013239538	0.254336746419698	0.922445214626667
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	158670.061296766	0.129015076413591	0.983882289126366	0.466626283763217	0.994843219926558
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	71527.0798664609	-0.0498001762626521	0.979612780035591	0.413558398494241	0.994843219926558
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	677133.549924383	-0.136778947894724	0.953048527054734	0.765972507959341	0.994843219926558
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum	445924.127369182	-0.0741591076964191	0.956561700312068	0.55586174752378	0.994843219926558
