taxa	p_raw	p_adjusted
Coprococcus.aceti	0.0212971643701572	1
Dysosmobacter.segnis	0.947969181536932	1
UBA11524.sp000437595	0.810858944990245	1
Vescimonas.sp900545495	0.913389065403133	1
Parabacteroides.distasonis	0.142161610947954	1
Dorealongicatena	0.760654012318577	1
Butyrivibriocrossotus	0.744125167754451	1
Lachnospira.pectinoschiza_A	0.827775994439035	1
Phocaeicola.vulgatus	0.744125167754451	1
Faecalibacterium.longum	0.32612480356833	1
CAG.170.sp000432135	0.930663081922545	1
Agathobacter.faecis	0.844771743519539	1
Faecalibacterium.prausnitzii_D	0.541993256335659	1
Gemmiger.formicilis	0.663335819487001	1
Limisoma.sp000437795	0.616575602311988	1
Ruminococcussp000980705	0.265325515070287	1
Dialister.sp000434475	0.571292507520386	1
Acetatifactor.intestinalis	0.432653715849064	1
UBA10281.sp900764105	0.760654012318577	1
Alloprevotella.sp900539625	0.930663081922545	1
Agathobacter.rectalis	0.965299381621532	1
Prevotella.sp002251385	0.727711083177414	1
Alitiscatomonas.sp900066535	0.586213874783266	1
Hominicoprocola.fusiformis	0.844771743519539	1
Duodenibacillus.sp900544335	0.982645666800472	1
Odoribacter.splanchnicus	0.896155071405668	1
Succinivibrio.sp000431835	0.760654012318577	1
Phocaeicola.coprocola	0.744125167754451	1
Faecalibacterium.sp900539945	0.64759417156185	1
Holdemanella.sp900556915	0.965299381621532	1
Avelusimicrobium.sp900541355	0.810858944990245	1
Fusicatenibacter.saccharivorans	1	1
Agathobaculum.hominis	0.760654012318577	1
Angelakisella.sp900547385	0.760654012318577	1
Bilophila.wadsworthia	0.632005521963359	1
Roseburia.inulinivorans	0.827775994439035	1
Mediterraneibacter.faecis	0.896155071405668	1
Hominimerdicola.aceti	0.458751662797436	1
Alistipes.shahii	0.760654012318577	1
Prevotella.stercorea	0.727711083177414	1
Sutterella.wadsworthensis_A	0.827775994439035	1
Faecalibacterium.prausnitzii	0.095225471897368	1
Prevotella.copri_I	0.541993256335659	1
Blautiawexlerae	0.844771743519539	1
Prevotella.copri_A	0.458751662797436	1
Alistipes.putredinis	0.663335819487001	1
CAG.273.sp000437855	0.982645666800472	1
Prevotella.copri_C	0.527624506541309	1
UBA11774.sp003507655	0.794028055423461	1
Wujia.chipingensis	0.181978034845111	1
CAG.103.sp000432375	0.472117954704294	1
CAG.217.sp000436335	0.744125167754451	1
Gemmiger.qucibialis	0.499469895607991	1
Blautiaobeum	0.359609852851348	1
Anaerotardibacter.sp000436075	0.294696184376506	1
Ruminococcusintestinalis	0.3830669278469	1
Ruminococcusbromii_B	0.727711083177414	1
