classification	logFC	logCPM	LR	PValue	FDR
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	-2.31455917527164	12.3476709434511	25.7242451099895	3.9384794614284e-07	0.00023158259233199
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	2.44591414391931	12.3822713958172	20.9314200909454	4.76022372493537e-06	0.001399505775131
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.22916421746608	12.2305777966828	18.7005521032438	1.5293819850852e-05	0.0023235269327032
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	1.81409409719572	12.6677388702518	18.6377080801589	1.58063056646476e-05	0.0023235269327032
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E intestinalis	2.33376431405368	11.6343992794117	17.9826543636652	2.22927072496119e-05	0.00262162237255436
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795	1.7088195654209	12.5162299316329	16.5707838231461	4.68674993962885e-05	0.0043977415203992
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	1.37748968124037	10.4301365908574	16.360904554625	5.23540657190381e-05	0.0043977415203992
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345	1.78355605615149	10.8504400379247	15.913179540089	6.63153230094208e-05	0.00457078693518288
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	-1.85513041137735	11.3988195186258	15.6602170311175	7.58019580107319e-05	0.00457078693518288
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900548615	1.5684283188542	12.0510953154714	15.612609745842	7.77344716867837e-05	0.00457078693518288
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	1.27897129212529	11.92462781064	15.2030318527191	9.65482864368611e-05	0.00516094476589767
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans	1.52054969003023	10.3699679494329	14.1868972097633	0.000165519096502327	0.00811043572861404
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	0.858623272573283	11.1642812812603	13.2900123640805	0.000266823721828153	0.0100512044488105
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	1.00504510826758	12.0547262048423	13.2334926592784	0.000274990925770964	0.0100512044488105
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.11529000677503	13.4927555231746	13.1909852859318	0.000281298965753976	0.0100512044488105
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_C	0.887501967761036	14.0657435152466	13.1232271562001	0.000291657212625612	0.0100512044488105
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	-1.76949750436583	13.2521428904844	13.0285306295685	0.000306781159037472	0.0100512044488105
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	-1.15559678387677	11.777486198663	13.0229913302829	0.000307689932106444	0.0100512044488105
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000980705	-0.780707741749846	11.4399904019689	11.8860131169945	0.0005655705353275	0.0175029197248721
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	0.583927489508064	12.7012661809546	11.7631076416534	0.000604162731350537	0.0177623843017058
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGTTR01;s__JAGTTR01 sp018223385	1.34343892461205	10.531277592057	11.4115565288661	0.000729886541446947	0.0204368231605145
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	1.26098570020906	11.1253618026504	11.1117545286522	0.000857823019775559	0.0226306710794649
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	1.05144914664022	11.8297627745492	11.0534706949868	0.000885213324536892	0.0226306710794649
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	1.20060225211745	10.7115055730314	10.6977391290452	0.00107266539318443	0.025917506678146
