feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus.aceti	Visit	3	-0.484431993132981	0.219321093177633	46	8	0.0379087997993329	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp000436615	Visit	3	0.17068005580264	0.155325275895182	46	3	0.277807557576339	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides.distasonis	Visit	3	-0.585397546818676	0.289877062956325	46	21	0.0557850111492709	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea_A.s__Dorea_A.longicatena	Visit	3	0.386407657174652	0.295510397415943	46	12	0.204511601481641	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Butyrivibrio_A.s__Butyrivibrio_A.crossotus	Visit	3	0.423269289525299	0.233892173006982	46	10	0.0840302321618922	0.440574789246671
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Sutterella.s__Sutterella.sp934255515	Visit	3	-0.160840278859011	0.152474803055879	46	3	0.297245307495887	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.103.s__CAG.103.sp900317855	Visit	3	-0.0434782608695701	0.0434782605147684	46	1	0.322779094053596	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.longum	Visit	3	-0.287919840349668	0.217031467456047	46	19	0.198238951559542	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.formicilis	Visit	3	0.337549425100354	0.311092740376496	46	12	0.289649481179607	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus_C.s__Ruminococcus_C.sp000980705	Visit	3	-0.420713985646513	0.240222048629578	46	7	0.0938165650491841	0.440574789246671
d__Bacteria.p__Bacillota_C.c__Negativicutes.o__Veillonellales.f__Dialisteraceae.g__Dialister.s__Dialister.sp000434475	Visit	3	-0.273754423937577	0.215733650597559	46	22	0.217722072146635	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Lawsonibacter.s__Lawsonibacter.sp900549405	Visit	3	-0.0434782608695504	0.0434782606073191	46	1	0.3227785301831	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Borkfalkiaceae.g__UBA10281.s__UBA10281.sp900764105	Visit	3	0.0146315469406946	0.014631546454442	46	2	0.328183245789192	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Alitiscatomonas.s__Alitiscatomonas.sp900066535	Visit	3	-0.0558055832321478	0.0446497187217124	46	3	0.224486193393214	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola.coprocola	Visit	3	-0.332563336115957	0.242149025284285	46	7	0.183468963139624	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp900548625	Visit	3	-0.0434782608695628	0.0434782606035628	46	1	0.322778643127418	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Agathobaculum.s__Agathobaculum.hominis	Visit	3	-0.00474846977447609	0.0047484697689061	46	2	0.328183261309204	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Hominimerdicola.s__Hominimerdicola.aceti	Visit	3	0.235136696385831	0.123514457672228	46	5	0.0701100504339895	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.shahii	Visit	3	0.316865696671214	0.262557575325723	46	17	0.240309626396328	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Prevotella.s__Prevotella.stercorea	Visit	3	-0.227110202821706	0.164595620682618	46	3	0.181509439517148	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.prausnitzii	Visit	3	-0.385835368292226	0.214286386045533	46	6	0.0854994088532092	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.wexlerae	Visit	3	0.214412777571155	0.211555316559874	46	7	0.321835626610585	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Prevotella.s__Prevotella.copri_A	Visit	3	-0.51876651527409	0.325125381653672	46	25	0.12484665329883	0.440574789246671
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Slackia.s__Slackia.isoflavoniconvertens	Visit	3	0.359534798945205	0.151694064978459	46	5	0.022230601442805	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_G.s__Eubacterium_G.ventriosum	Visit	3	0.0992849125644408	0.0691676345361205	46	2	0.158239054504276	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.273.s__CAG.273.sp000437855	Visit	3	0.111257764883355	0.0788448914995442	46	3	0.172201841668055	0.440574789246671
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Prevotella.s__Prevotella.copri_C	Visit	3	0.604983082470776	0.355713748611946	46	9	0.103082815428524	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__JAGTTR01.s__JAGTTR01.sp018223385	Visit	3	0.376846917147522	0.204437286724232	46	5	0.0720218684104821	0.440574789246671
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus_C.s__Ruminococcus_C.sp000433635	Visit	3	0.312622909818406	0.191984304107129	46	3	0.110587470715476	0.440574789246671
