classification	baseMean	log2FoldChange	lfcSE	pvalue	padj
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	188266.159882976	-0.0710849169548489	0.977388694401433	0.0503107301447604	0.0850077854170089
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	216335.740949762	-0.141992310085603	0.997192365985831	0.928930703698635	0.966353832888925
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	41907.51202109	-0.281814277599893	1.07464449910705	0.450375139653903	0.660400454155848
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	378408.649053826	-0.0348279470714979	0.975751364124434	0.724092019143157	0.961837004019408
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	44894.7100594431	-0.141726443247612	0.987002494043829	0.942492339407138	0.966353832888925
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	430782.966027205	-0.289526586038461	0.99405734710918	0.0871701243605948	0.144791054022683
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	91529.9239279355	0.0242758663760444	0.980086922247659	0.385740074822163	0.580089933492153
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	148809.222970563	0.0384640055530045	0.971573080742511	0.556623022527446	0.784878506585464
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	66184.3206850303	-0.13021067826576	0.997551441052514	0.259391357214341	0.411110830301974
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	735010.266047472	-0.215254594189885	0.981530209990731	0.650704356005515	0.889800375188937
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp934255515	31691.7647474336	-0.329952637191092	1.09769341267182	8.15475259807428e-17	3.44963635084005e-16
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	20449.6750593434	-0.377033783879374	1.12593806736161	2.35896522232212e-24	1.19575135212976e-23
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum	471761.658525098	-0.170875258869902	0.976504674061444	0.381315024049822	0.577869160157978
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	348988.725968878	-0.0892776599549756	0.986725663581815	0.968081723807952	0.976384311490696
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	308124.862426185	-0.0527008823219984	0.984319512869202	0.781447431178568	0.966353832888925
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	258370.290183122	-0.123365722956883	1.02169899620877	0.310769507452362	0.480874922057866
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	258615.891926305	0.00482982297602408	0.975893789850419	0.783306749359501	0.966353832888925
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp000437795	323673.35172085	-0.0123813517261987	0.977162024805342	0.682057165109132	0.923726388049752
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000980705	125929.761590661	-0.302791958648685	1.08166934704874	1.94958680673044e-17	8.82080736367783e-17
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475	433433.164019885	-0.171261683833694	0.928763196061776	0.502877820064761	0.721200385848974
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	321207.226371125	-0.166642651297312	1.01669009400896	0.351666774126132	0.535699645560014
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900549405	16023.8781209023	-0.375178483860784	1.124308990056	2.35896525250089e-24	1.19575135212976e-23
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281;s__UBA10281 sp900764105	8501.98646783386	-0.0593630501638448	0.963975109668577	0.918783830806578	0.966353832888925
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900539625	156059.771315736	-0.164358472227495	0.997709392593379	0.757677918225738	0.966353832888925
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	310576.131885301	-0.125135683863041	1.01153244598068	0.925817547104341	0.966353832888925
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251385	253852.570840998	-0.0872418672071563	0.973478185224595	0.999159010271082	0.999159010271082
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp900066535	21245.3043267153	-0.348647126130008	1.10329111211916	3.15649643412108e-06	5.67590184484157e-06
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	443786.83847378	-0.0168990141361526	0.943314771719285	0.799472140771154	0.966353832888925
